Ring;Dump;Azimuth;Burden;Holes;SampleHole;Diameters;Drill;Total Drill;Charge;Configuration;Ungassed Charge Length;Primers;Explosive Amount;Position;PositionX;PositionY;PositionZ;Drawbell;LookDirection;Comments;Rig;Drill Factor
SL1;0;351.9541;0.000 : SL2;7;;76 mm;26.1669;26.1669;19.7763;095 3W MPR02A LHS 01E EXST_SLIPE;19.7763;7;100.4802;{7118.8398:-23223.1522:-995.6343};7118.8398;-23223.1522;-995.6343;FALSE;NORTH;;SIMBA S7-D;0
SL2;0;340.3896;0.000 : SL3;7;;76 mm;36.8592;36.8592;29.4027;095 3W MPR02A LHS 01E EXST_SLIPE;29.4027;7;149.39;{7118.8398:-23223.1522:-995.6343};7118.8398;-23223.1522;-995.6343;FALSE;NORTH;;SIMBA S7-D;0
SL3;0;324.8757;0.000 : SL4;8;;76 mm;55.5;55.5;43.3384;095 3W MPR02A LHS 01E EXST_SLIPE;43.3384;8;220.1951;{7118.8398:-23223.1522:-995.6343};7118.8398;-23223.1522;-995.6343;FALSE;NORTH;;SIMBA S7-D;0
SL4;0;312;0.000 : SL5;9;;76 mm;72.8657;72.8657;58.6836;095 3W MPR02A LHS 01E EXST_SLIPE;58.6836;9;298.1615;{7118.8398:-23223.1522:-995.6343};7118.8398;-23223.1522;-995.6343;FALSE;WEST;;SIMBA S7-D;0
SL5;0;299.3119;;7;;76 mm;26.2812;26.2812;19.6828;095 3W MPR02A LHS 01E EXST_SLIPE;19.6828;7;100.0053;{7118.8398:-23223.1522:-995.6343};7118.8398;-23223.1522;-995.6343;FALSE;WEST;;SIMBA S7-D;0
