Ring;Dump;Azimuth;Burden;Holes;SampleHole;Diameters;Drill;Total Drill;Charge;Configuration;Ungassed Charge Length;Primers;Explosive Amount;Position;PositionX;PositionY;PositionZ;Drawbell;LookDirection;Comments;Rig;Drill Factor
Rn1;0;316.6225;0.000 : Rn2;8;;89 mm;60.8974;60.8974;45.3414;095 3W MPR02A LHS 01E EXST_SET2;45.3414;7;315.9244;{7096.5007:-23224.2210:-993.0404};7096.5007;-23224.221;-993.0404;FALSE;NORTH;;ATLAS COPCO SIMBA M6C 214;0
Rn2;0;329.2861;;10;;89 mm;56.4821;56.4821;46.36;095 3W MPR02A LHS 01E EXST_SET2;46.36;10;323.0214;{7096.5007:-23224.2210:-993.0404};7096.5007;-23224.221;-993.0404;FALSE;NORTH;;ATLAS COPCO SIMBA M6C 214;0
Rn3;0;330.9494;2.500 : Rn1;9;;89 mm;42.2457;42.2457;32.0511;095 3W MPR02A LHS 01E EXST_SET2;32.0511;9;223.3218;{7097.8387:-23226.3050:-993.2025};7097.8387;-23226.305;-993.2025;FALSE;NORTH;;ATLAS COPCO SIMBA M6C 214;0
Rn4;0;153;2.563 : Rn3;10;;89 mm;34.8335;34.8335;25.1856;095 3W MPR02A LHS 01E EXST_SET2;25.1856;10;175.4849;{7099.2133:-23228.4675:-993.2397};7099.2133;-23228.4675;-993.2397;FALSE;SOUTH;;ATLAS COPCO SIMBA M6C 214;0
