RingID,HoleID,Length,Total Length,Dip,DipOpposite,Dump,BT,Uphole,Offset,CollarOffset,CollarOffset Vertical,Charge Collar,Charge Length,Charge Length Total,Ungassed Charge Length,Ungassed Charge Length Total,Ungassed Collar Length,Ungassed Collar Length Total,Charge Toe,Explosive Name,Explosive Amount,Explosive Amount Total,Diameter,Subdrill,Delay,Primers,Primers(Toe),Primers(Col),Boosters,Boosters(Toe),Boosters(Col),CollarXYZ,CollarX,CollarY,CollarZ,ToeXYZ,ToeX,ToeY,ToeZ,ActualDrilled,Comments,Other,Rig,SampleHole,Pivot,PivotHeight,PivotHeightVertical,NoOfRods,NoOfRodsReal,Remote,SubRemote,TrueAzimuth,TrueDip,AzimuthOffset,Detonator
R4,H11,1.1756,1.1756,121.9902,58.0098,90.0000,N,N,R0.4802,R2.6709,5.3071,0.5000,EMULSION 1.12[0.6716],0.6716,EMULSION 1.12[0.6716],0.6716,EMULSION 1.12[0.5000],0.5000,1.1716,EMULSION 1.12,EMULSION 1.12[4.6792],4.6792,89 mm,0.0000,0.0000,1,0.5000[0],0.6756[0],0,,,{7117.1765:-23216.9223:-985.3722},7117.1765,-23216.9223,-985.3722,{7116.7560:-23217.3817:-984.3751},7116.7560,-23217.3817,-984.3751,0.0000,,,ATLAS COPCO SIMBA S7 D,N,8,1.8000,1.8000,1.0000,0.6531,,,222.4682,58.0098,0.0000,
R4,H12,3.7309,3.7309,16.0926,163.9074,90.0000,N,N,R1.7839,L3.3433,0.3138,0.0000,EMULSION 1.12[1.5672],1.5672,EMULSION 1.12[1.5672],1.5672,EMULSION 1.12[0.0000],0.0000,1.5672,EMULSION 1.12,EMULSION 1.12[10.9201],10.9201,89 mm,0.0000,0.0000,1,1.0000[0],2.7309[0],0,,,{7121.2371:-23212.4859:-990.3655},7121.2371,-23212.4859,-990.3655,{7119.9222:-23213.9226:-987.1833},7119.9222,-23213.9226,-987.1833,0.0000,,,ATLAS COPCO SIMBA S7 D,N,13,1.8000,1.8000,3.0000,2.0727,,,222.4682,58.5322,0.0000,
R4,H13,8.3754,8.3754,200.6496,339.3504,90.0000,N,N,R0.7263,R1.7980,1.3961,0.0000,EMULSION 1.12[8.3754],8.3754,EMULSION 1.12[8.3754],8.3754,EMULSION 1.12[0.0000],0.0000,8.3754,EMULSION 1.12,EMULSION 1.12[58.3573],58.3573,89 mm,0.0000,0.0000,1,3.0000[0],5.3754[0],0,,,{7117.7658:-23216.2784:-989.2832},7117.7658,-23216.2784,-989.2832,{7112.4742:-23222.0596:-992.2368},7112.4742,-23222.0596,-992.2368,0.0000,,,ATLAS COPCO SIMBA S7 D,N,10,1.8000,1.8000,5.0000,4.6530,,,222.4682,-20.6496,0.0000,
R4,H14,8.9245,8.9245,207.8546,332.1454,90.0000,N,N,R0.6090,R1.7687,1.1872,0.5000,EMULSION 1.12[8.4245],8.4245,EMULSION 1.12[8.4245],8.4245,EMULSION 1.12[0.5000],0.5000,8.9245,EMULSION 1.12,EMULSION 1.12[58.6989],58.6989,89 mm,0.0000,0.0000,1,2.0000[0],6.9245[0],0,,,{7117.7857:-23216.2568:-989.4921},7117.7857,-23216.2568,-989.4921,{7112.4582:-23222.0772:-993.6619},7112.4582,-23222.0772,-993.6619,0.0000,,,ATLAS COPCO SIMBA S7 D,N,9,1.8000,1.8000,5.0000,4.9580,,,222.4682,-27.8546,0.0000,
R4,H15,10.4835,10.4835,218.3245,321.6755,90.0000,N,N,R0.4802,R1.6773,0.8538,5.3732,EMULSION 1.12[5.1103],5.1103,EMULSION 1.12[5.1103],5.1103,EMULSION 1.12[5.3732],5.3732,10.4835,EMULSION 1.12,EMULSION 1.12[35.6070],35.6070,89 mm,0.0000,0.0000,1,1.0000[0],9.4835[0],0,,,{7117.8474:-23216.1893:-989.8255},7117.8474,-23216.1893,-989.8255,{7112.2944:-23222.2561:-996.3265},7112.2944,-23222.2561,-996.3265,0.0000,,,ATLAS COPCO SIMBA S7 D,N,8,1.8000,1.8000,6.0000,5.8242,,,222.4682,-38.3245,0.0000,
R4,H16,9.5074,9.5074,227.7630,312.2370,90.0000,N,N,R0.3574,R1.5218,0.5174,0.5000,EMULSION 1.12[9.0000],9.0000,EMULSION 1.12[9.0000],9.0000,EMULSION 1.12[0.5000],0.5000,9.5000,EMULSION 1.12,EMULSION 1.12[62.7091],62.7091,89 mm,0.0000,0.0000,1,1.0000[0],8.5074[0],0,,,{7117.9523:-23216.0747:-990.1619},7117.9523,-23216.0747,-990.1619,{7113.6373:-23220.7889:-997.2009},7113.6373,-23220.7889,-997.2009,0.0000,,,ATLAS COPCO SIMBA S7 D,N,7,1.8000,1.8000,6.0000,5.2819,,,222.4682,-47.7630,0.0000,
R4,H17,8.6301,8.6301,238.8961,301.1039,90.0000,N,N,R0.0276,R1.0095,0.1725,3.0178,EMULSION 1.12[5.4822],5.4822,EMULSION 1.12[5.4822],5.4822,EMULSION 1.12[3.0178],3.0178,8.5000,EMULSION 1.12,EMULSION 1.12[38.1982],38.1982,89 mm,0.0000,0.0000,1,2.0000[0],6.6301[0],0,,,{7118.2982:-23215.6968:-990.5068},7118.2982,-23215.6968,-990.5068,{7115.2881:-23218.9854:-997.8962},7115.2881,-23218.9854,-997.8962,0.0000,,,ATLAS COPCO SIMBA S7 D,N,5,1.8000,1.8000,5.0000,4.7945,,,222.4682,-58.8961,0.0000,
R4,H18,7.2404,7.2404,247.1769,292.8231,90.0000,N,N,L0.9651,L0.2506,0.1023,0.5000,EMULSION 1.12[6.5000],6.5000,EMULSION 1.12[6.5000],6.5000,EMULSION 1.12[0.5000],0.5000,7.0000,EMULSION 1.12,EMULSION 1.12[45.2899],45.2899,89 mm,0.0000,0.0000,1,1.0000[0],6.2404[0],0,,,{7119.1490:-23214.7672:-990.5770},7119.1490,-23214.7672,-990.5770,{7117.2528:-23216.8389:-997.2506},7117.2528,-23216.8389,-997.2506,0.0000,,,ATLAS COPCO SIMBA S7 D,N,4,1.8000,1.8000,5.0000,4.0224,,,222.4682,-67.1769,0.0000,
R4,H19,7.1405,7.1405,255.0427,284.9573,90.0000,N,N,L2.2035,L1.7282,0.0206,0.5000,EMULSION 1.12[6.5000],6.5000,EMULSION 1.12[6.5000],6.5000,EMULSION 1.12[0.5000],0.5000,7.0000,EMULSION 1.12,EMULSION 1.12[45.2899],45.2899,89 mm,0.0000,0.0000,1,1.0000[0],6.1405[0],0,,,{7120.1466:-23213.6773:-990.6587},7120.1466,-23213.6773,-990.6587,{7118.9023:-23215.0368:-997.5573},7118.9023,-23215.0368,-997.5573,0.0000,,,ATLAS COPCO SIMBA S7 D,N,2,1.8000,1.8000,4.0000,3.9670,,,222.4682,-75.0427,0.0000,
R4,H20,6.9983,6.9983,274.6671,265.3329,90.0000,N,N,L1.5839,L1.7291,0.0206,0.5000,EMULSION 1.12[6.4983],6.4983,EMULSION 1.12[6.4983],6.4983,EMULSION 1.12[0.5000],0.5000,6.9983,EMULSION 1.12,EMULSION 1.12[45.2780],45.2780,89 mm,0.0000,0.0000,1,1.0000[0],5.9983[0],0,,,{7120.1473:-23213.6766:-990.6588},7120.1473,-23213.6766,-990.6588,{7120.5318:-23213.2566:-997.6338},7120.5318,-23213.2566,-997.6338,0.0000,,,ATLAS COPCO SIMBA S7 D,N,3,1.8000,1.8000,4.0000,3.8879,,,42.4682,-85.3329,0.0000,
R4,H21,8.1174,8.1174,306.1517,233.8483,90.0000,N,N,R1.0178,L0.2212,0.1042,2.9931,EMULSION 1.12[4.0069],4.0069,EMULSION 1.12[4.0069],4.0069,EMULSION 1.12[2.9931],2.9931,7.0000,EMULSION 1.12,EMULSION 1.12[27.9185],27.9185,89 mm,0.0000,0.0000,1,2.0000[0],6.1174[0],0,,,{7119.1291:-23214.7890:-990.5751},7119.1291,-23214.7890,-990.5751,{7122.3624:-23211.2566:-997.1296},7122.3624,-23211.2566,-997.1296,0.0000,,,ATLAS COPCO SIMBA S7 D,N,11,1.8000,1.8000,5.0000,4.5097,,,42.4682,-53.8483,0.0000,

